home_team,away_team,bet,country,date,is_correct,season,coef,chance,value
Calcio Catania,SS Juve Stabia,1,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.99,0.31003468280635776,0.9270037015910098
Imolese Calcio 1919,Carrarese Calcio 1908,3,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.56,0.35141914574250843,0.8996330131008216
Imolese Calcio 1919,Carrarese Calcio 1908,0,italy serie-c,2021-10-10 15:30:00,True,2021-2022,2.75,0.33250527947230896,0.9143895185488496
Imolese Calcio 1919,Carrarese Calcio 1908,1,italy serie-c,2021-10-10 15:30:00,False,2021-2022,3.08,0.31607557478518256,0.9735127703383623
Taranto FC 1927,US Vibonese,3,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.05,0.4488086235257127,0.920057678227711
Taranto FC 1927,US Vibonese,0,italy serie-c,2021-10-10 15:30:00,False,2021-2022,3.58,0.2416961716735122,0.8652722945911737
Taranto FC 1927,US Vibonese,1,italy serie-c,2021-10-10 15:30:00,True,2021-2022,3.19,0.30949520480077514,0.9872897033144726
SSC Bari,SS Turris Calcio,3,italy serie-c,2021-10-10 15:30:00,True,2021-2022,1.58,0.6097635926239479,0.9634264763458377
SSC Bari,SS Turris Calcio,0,italy serie-c,2021-10-10 15:30:00,False,2021-2022,5.94,0.14641264689730074,0.8696911225699665
SSC Bari,SS Turris Calcio,1,italy serie-c,2021-10-10 15:30:00,False,2021-2022,3.59,0.24382376047875134,0.8753273001187173
Potenza Calcio,Fidelis Andria 2018,3,italy serie-c,2021-10-10 15:30:00,True,2021-2022,2.76,0.33818375301128734,0.9333871583111529
Potenza Calcio,Fidelis Andria 2018,0,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.72,0.3372788875905651,0.9173985742463372
Potenza Calcio,Fidelis Andria 2018,1,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.88,0.3245373593981476,0.9346675950666651
Palermo FC,Calcio Foggia 1920,3,italy serie-c,2021-10-10 15:30:00,True,2021-2022,2.19,0.4447359029500136,0.9739716274605297
Palermo FC,Calcio Foggia 1920,0,italy serie-c,2021-10-10 15:30:00,False,2021-2022,3.54,0.2577246091535202,0.9123451164034615
Palermo FC,Calcio Foggia 1920,1,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.94,0.29753948789646617,0.8747660944156105
Latina Calcio 1932,AZ Picerno,3,italy serie-c,2021-10-10 15:30:00,True,2021-2022,2.44,0.36369864331939483,0.8874246896993234
Latina Calcio 1932,AZ Picerno,0,italy serie-c,2021-10-10 15:30:00,False,2021-2022,3.16,0.31110145692812136,0.9830806038928636
Latina Calcio 1932,AZ Picerno,1,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.84,0.32519989975248387,0.9235677152970542
CF Fuenlabrada,CD Leganés,3,spain laliga2,2021-10-10 16:15:00,True,2021-2022,2.99,0.3321238838582726,0.9930504127362351
CF Fuenlabrada,CD Leganés,0,spain laliga2,2021-10-10 16:15:00,False,2021-2022,2.76,0.3320153827185262,0.9163624563031323
